"group_type_id","Visit (Years)","estimate","LCL","UCL"
1,0,0,NA,NA
2,0,0,NA,NA
1,1,-0.0750300023836089,-0.126519445232315,-0.0235405595349023
2,1,-0.239580818135601,-0.300427872367376,-0.178733763903827
1,2,-0.0619405990289471,-0.115529413265624,-0.00835178479227042
2,2,-0.121306903227758,-0.184622341032999,-0.0579914654225163
1,3,-0.111800242743945,-0.164820983743218,-0.0587795017446717
2,3,-0.155952012471234,-0.218806763216789,-0.0930972617256792
