"group_type_id","Visit (Years)","ratio","LCL","UCL"
"1",0,1,NA,NA
"2",0,1,NA,NA
"1",1,0.953230925216766,0.884119146986977,1.02774518557395
"2",1,1.13388383508501,1.04651413737109,1.22854771431644
"1",2,1.03911495639253,0.961825561964701,1.12261509290006
"2",2,1.23128874201628,1.13378722340806,1.33717503153622
"1",3,0.992170640950548,0.919477752045507,1.07061054884066
"2",3,1.15637847820265,1.06495594379275,1.2556492995268
